season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain
2023,1343970,PC v PR,PC,PR,PR,"SuperSport Park, Centurion",Centurion,South Africa,1,BC Fortuin,Bjorn Fortuin,4.0,0,33,0,8.25,8,5,0,2,0,False
2023,1343970,PC v PR,PC,PR,PR,"SuperSport Park, Centurion",Centurion,South Africa,1,Codi Yusuf,Codi Yusuf,4.0,0,45,1,11.25,4,3,2,2,0,False
2023,1343970,PC v PR,PC,PR,PR,"SuperSport Park, Centurion",Centurion,South Africa,1,L Ngidi,Lungi Ngidi,4.0,0,39,2,9.75,9,4,2,2,0,False
2023,1343970,PC v PR,PC,PR,PR,"SuperSport Park, Centurion",Centurion,South Africa,1,E Jones,Evan Jones,4.0,0,57,0,14.25,3,5,3,1,1,False
2023,1343970,PC v PR,PC,PR,PR,"SuperSport Park, Centurion",Centurion,South Africa,1,AL Phehlukwayo,Andile Phehlukwayo,4.0,0,43,1,10.75,3,1,3,2,0,False
2023,1343970,PC v PR,PC,PR,PC,"SuperSport Park, Centurion",Centurion,South Africa,2,E Bosch,Eathan Bosch,4.0,0,31,1,7.75,13,3,2,0,0,False
2023,1343970,PC v PR,PC,PR,PC,"SuperSport Park, Centurion",Centurion,South Africa,2,S Muthusamy,Senuran Muthusamy,2.0,0,23,0,11.5,1,2,1,1,0,False
2023,1343970,PC v PR,PC,PR,PC,"SuperSport Park, Centurion",Centurion,South Africa,2,A Nortje,Anrich Nortje,4.0,0,14,1,3.5,12,0,0,0,0,False
2023,1343970,PC v PR,PC,PR,PC,"SuperSport Park, Centurion",Centurion,South Africa,2,M Pretorius,Migael Pretorius,3.0,0,21,2,7.0,7,1,1,0,0,False
2023,1343970,PC v PR,PC,PR,PC,"SuperSport Park, Centurion",Centurion,South Africa,2,AU Rashid,Adil Rashid,3.0,0,18,2,6.0,8,2,0,0,0,False
2023,1343970,PC v PR,PC,PR,PC,"SuperSport Park, Centurion",Centurion,South Africa,2,CA Ingram,Colin Ingram,2.0,0,21,0,10.5,6,1,2,1,0,False
2023,1343970,PC v PR,PC,PR,PC,"SuperSport Park, Centurion",Centurion,South Africa,2,JDS Neesham,James Neesham,2.0,0,28,3,14.0,4,3,2,0,0,False
