comment_id,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
110,1343970,PC v PR,PC,PR,PC,1,1,1,1,"Fortuin to Salt, 1 run",False,False,False,669365,Phil Salt,1,1,553249,Bjorn Fortuin,0.1,0,1,0,629074,Kusal Mendis,0,0,,,,,,,,,,,,,False,"full toss from round the wicket, 96kph and clubbed to the deep midwicket sweeper for one","<p>Phil Salt is scratching out his guard, and it looks like spin to open for Royals: Bjorn Fortuin limbering up</p><p><b>5.28pm:</b> Right then, here come the players. Royals, by chasing, will have the slight advantage in knowing exactly what score they will need in order to keep their NRR above DSG. Shall we do this?</p><p>Noor: ""@Afeef, Parnell, their regular captain and an important bowler for the side wasn't available too. That's an important factor.""</p><p><b>5.20pm:</b> So there are various permutations for tonight, with the only thing certain that Capitals will top the table. Should they win, but Royals confirm their passage in fourth spot, then these two teams will (I think) face off again tomorrow in Joburg. Wayne Parnell has now missed two matches with the niggle he picked up during Capitals win over MICT at the weekend, but de Bruyn said they were still hopeful he might be able to return for the semi</p><p>Here's friend of the SA20 and feedback regular, Afeef: ""Despite being the best team of the tournament, Pretoria's defeat in the last match was mind-boggling. Conceded a huge total and absolutely folded in response.""</p><p><b>5pm: Royals won the toss and will bowl</b>. ""We like to chase and it's normally a chasing ground,"" says David Miller. ""Firstly we want to win, so that's our priority. Nothing changes for us."" Three changes for Royals, Paul Stirling, Eoin Morgan and Codi Yusuf coming in. Theunis de Bruyn, Capitals' stand-in captain, is happy enough batting first. ""We know that we're going to be playing at the Wanderers tomorrow [in the first semi-final], so chance to put a big score on the board and try to defend it. Now's the business part of the competition, we've played good cricket and excited for the next few days."" Adil Rashid and Anrich Nortje return for Capitals, after their thrashing at the hands of DSG two nights ago</p><p><b>Pretoria Capitals:</b> 1 Phil Salt, 2 Kusal Mendis, 3 Theunis de Bruyn, 4 Rilee Rossouw, 5 Colin Ingram, 6 James Neesham, 7 Senuran Muthusamy, 8 Migael Pretorius, 9 Eathan Bosch, 10 Adil Rashid, 11 Anrich Nortje</p><p><b>Paarl Rocks:</b> 1 Paul Stirling, 2 Jason Roy, 3 Jos Buttler, 4 Mitchell van Buuren, 5 David Miller, 6 Eoin Morgan, 7 Evan Jones, 8 Andile Phelukwayo 9 Bjorn Fortuin, 10 Codi Yusuf, 11 Lungi Ngidi</p><p><b>4.45pm:</b> Hello and welcome. It's crunch time in the SA20 group stage, with Pretoria Capitals hosting Paarl <del>Rocks</del> Royals for a do-or-die final contest. Well, sort of. Perhaps do-or-not-die-too-badly would be more accurate... Royals are currently sitting fourth on the table, in the final semi-final spot, and will stay there unless they lose too heavily to leaders Capitals - by 62 runs or with eight overs to spare, to be precise. A defeat of that magnitude would allow Durban's Super Giants, also currently on 19 points, to sneak ahead. And just in case you're thinking that's pretty unlikely, the last two results in the comp have been victories by 76 runs and a whopping 151 runs (<a href=https://www.espncricinfo.com/series/sa20-2022-23-1335268/pretoria-capitals-vs-durban-s-super-giants-28th-match-1343968/full-scorecard>DSG keeping their hopes alive by hammering Capitals</a>). So there's no complacency here, thankyouverymuch. Toss and teams coming up shortly</p>","<p>""It's hot and noisy at the game.... "" reports Frans</p>"
120,1343970,PC v PR,PC,PR,PC,1,1,2,1,"Fortuin to Mendis, 1 run",False,False,False,629074,Kusal Mendis,1,1,553249,Bjorn Fortuin,0.2,0,2,0,669365,Phil Salt,1,1,,,,,,,,,,,,,False,"darted in straight, Mendis wrists one back through mid-on",,
130,1343970,PC v PR,PC,PR,PC,1,1,3,4,"Fortuin to Salt, 4 byes",False,False,False,669365,Phil Salt,1,2,553249,Bjorn Fortuin,0.3,0,2,0,629074,Kusal Mendis,1,1,,,,,,,,,,,,,False,"<b>beats everything!</b> Skiddy length and it zips past the inside edge as Salt aims a drive down the ground, Buttler can't get across outside leg and it flies for byes",,
140,1343970,PC v PR,PC,PR,PC,1,1,4,1,"Fortuin to Salt, 1 run",False,False,False,669365,Phil Salt,2,3,553249,Bjorn Fortuin,0.4,0,3,0,629074,Kusal Mendis,1,1,,,,,,,,,,,,,False,"tapped into the leg side, Miller fires down the stumps at the striker's end! But Mendis was safe",,
150,1343970,PC v PR,PC,PR,PC,1,1,5,4,"Fortuin to Mendis, FOUR",True,False,False,629074,Kusal Mendis,5,2,553249,Bjorn Fortuin,0.5,0,7,0,669365,Phil Salt,2,3,,,,,,,,,,,,,False,"<b>clouted through long-off!</b> Tossed up and he gets half a stride, belts it with some face down the ground",,
160,1343970,PC v PR,PC,PR,PC,1,1,6,4,"Fortuin to Mendis, FOUR",True,False,False,629074,Kusal Mendis,9,3,553249,Bjorn Fortuin,1.0,0,11,0,669365,Phil Salt,2,3,,,,,,,,,,,,,False,"<b>full on the stumps, and swept for four more!</b> Mendis stays low this time and just paddles firmly away through backward square leg",,<p>Good opening gambit for Capitals</p>
11010,1343970,PC v PR,PC,PR,PC,1,2,1,6,"Codi Yusuf to Salt, SIX",True,False,False,669365,Phil Salt,8,4,949461,Codi Yusuf,0.1,0,6,0,629074,Kusal Mendis,9,3,553249.0,Bjorn Fortuin,1.0,0.0,11.0,0.0,,,,,,,False,<b>banged in and creamed over deep square leg!</b> There's a man out there but Salt clears him comfortably on the pull,<p>It'll be Codi Yusuf from the other end</p>,"<p>""Just curious (as a JSK fan), how many runs / overs do the Royals need to win by so that JSK will top the table?"" I think, Aditya, a swing of 0.8 is too much for it to be a realistic possibility - maybe 120-plus runs, or winning inside 8 overs?</p>"
11020,1343970,PC v PR,PC,PR,PC,1,2,2,1,"Codi Yusuf to Salt, 1 run",False,False,False,669365,Phil Salt,9,5,949461,Codi Yusuf,0.2,0,7,0,629074,Kusal Mendis,9,3,553249.0,Bjorn Fortuin,1.0,0.0,11.0,0.0,,,,,,,False,back of a length on the pads and flicked through backward square,,
11030,1343970,PC v PR,PC,PR,PC,1,2,3,1,"Codi Yusuf to Mendis, 1 run",False,False,False,629074,Kusal Mendis,10,4,949461,Codi Yusuf,0.3,0,8,0,669365,Phil Salt,9,5,553249.0,Bjorn Fortuin,1.0,0.0,11.0,0.0,,,,,,,False,"into the pitch, 135kph and Mendis miscues a flick straight up... <b>but it falls safely into space!</b> Short fine leg and deep square were in the game, but neither could get to the chance",,
11040,1343970,PC v PR,PC,PR,PC,1,2,4,4,"Codi Yusuf to Salt, FOUR",True,False,False,669365,Phil Salt,13,6,949461,Codi Yusuf,0.4,0,12,0,629074,Kusal Mendis,10,4,553249.0,Bjorn Fortuin,1.0,0.0,11.0,0.0,,,,,,,False,"<b>length on the pads, swished away!</b> Up and over the man at short fine leg for another boundary",,
