season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,highlights,home_key_batsman,home_key_bowler,home_playx1,away_playx1,away_key_batsman,away_key_bowler,match_days,umpire1,umpire2,tv_umpire,referee,reserve_umpire
2023.0,1343970,Pretoria Capitals v Paarl Royals,PC v PR,"30th Match (D/N), SA20 at Centurion, Feb 7 2023",PC,PR,Paarl Royals,BOWL FIRST,,,226/5,"167/9 (20 ov, target 227)",PC,Capitals won by 59 runs,2023-02-07T15:30Z,2023-02-08T23:59Z,59079,"SuperSport Park, Centurion",Theunis de Bruyn,David Miller,None,"Pretoria Capitals 5, Paarl Royals 0",False,,,,,,,,,,,,,,,,,,,,,
,1343971,Pretoria Capitals v Paarl Royals,PC v PR,"1st Semi-Final (D/N), SA20 at Johannesburg, Feb 8 2023",PC,PR,,,,,,,PR,Starts at 17:30 local time,2023-02-08T15:30Z,2023-02-09T23:59Z,59120,"The Wanderers Stadium, Johannesburg",,,,,,,,,,,,,,,,,,,,,,,,,,
,1343972,Joburg Super Kings v Sunrisers Eastern Cape,JSK v SEC,"2nd Semi-Final (D/N), SA20 at Centurion, Feb 9 2023",JSK,SEC,,,,,,,SEC,Starts at 17:30 local time,2023-02-09T15:30Z,2023-02-10T23:59Z,59079,"SuperSport Park, Centurion",,,,,,,,,,,,,,,,,,,,,,,,,,
,1343973,TBC v TBC,TBC v TBC,"Final (D/N), SA20 at Johannesburg, Feb 11 2023",TBA,TBA,,,,,,,TBA,Starts at 16:30 local time,2023-02-11T14:30Z,2023-02-12T23:59Z,59120,"The Wanderers Stadium, Johannesburg",,,,,,,,,,,,,,,,,,,,,,,,,,
2023.0,1343969,Joburg Super Kings v MI Cape Town,JSK v MICT,"29th Match (D/N), SA20 at Johannesburg, Feb 6 2023",JSK,MICT,MI Cape Town,BOWL FIRST,189/6,113,189/6,113,JSK,Super Kings won by 76 runs,2023-02-06T15:30Z,2023-02-07T23:59Z,59120,"The Wanderers Stadium, Johannesburg",Faf du Plessis,Rashid Khan,Leus du Plooy,"Joburg Super Kings 5, MI Cape Town 0",False,20.0,189.0,6.0,27.0,17.5,113.0,10.0,9.0,,"Leus du Plooy,Matthew Wade","Gerald Coetzee,Kyle Simmonds","Faf du Plessis (UKN),Reeza Hendricks (UKN),Leus du Plooy (UKN),Sibonelo Makhanya (UKN),Matthew Wade (WK),Donovan Ferreira (AR),Kyle Simmonds (AR),Romario Shepherd (AR),Gerald Coetzee (BL),Lizaad Williams (BL),Maheesh Theekshana (BL)","Rassie van der Dussen (UKN),Wesley Marshall (UKN),Grant Roelofsen (WK),Dewald Brevis (AR),George Linde (AR),Tim David (UKN),Delano Potgieter (UKN),Sam Curran (AR),Rashid Khan (AR),Jofra Archer (BL),Kagiso Rabada (BL)","Dewald Brevis,Grant Roelofsen","Sam Curran,Jofra Archer",6 February 2023 - day/night match (20-over match),Marais Erasmus,Adrian Holdstock,Allahudien Paleker,Zed Ndamane,Siphelele Gasa
2023.0,1343968,Pretoria Capitals v Durban's Super Giants,PC v DSG,"28th Match (D/N), SA20 at Centurion, Feb 5 2023",PC,DSG,Pretoria Capitals,BOWL FIRST,254/4,103,103,254/4,DSG,Super Giants won by 151 runs,2023-02-05T15:30Z,2023-02-06T23:59Z,59079,"SuperSport Park, Centurion",Theunis de Bruyn,Quinton de Kock,Heinrich Klaasen,"Durban's Super Giants 5, Pretoria Capitals 0",False,13.5,103.0,10.0,14.0,20.0,254.0,4.0,41.0,,"Eathan Bosch,Rilee Rossouw","Migael Pretorius,Josh Little","Phil Salt (UKN),Kusal Mendis (WK),Theunis de Bruyn (UKN),Rilee Rossouw (UKN),Colin Ingram (UKN),James Neesham (AR),Senuran Muthusamy (AR),Migael Pretorius (BL),Eathan Bosch (BL),Daryn Dupavillon (BL),Josh Little (BL)","Quinton de Kock (UKN),Ben McDermott (UKN),Heinrich Klaasen (WK),David Willey (AR),Wiaan Mulder (AR),Matthew Breetzke (UKN),Keemo Paul (AR),Dwaine Pretorius (AR),Keshav Maharaj (BL),Junior Dala (BL),Reece Topley (BL)","Heinrich Klaasen,Matthew Breetzke","Junior Dala,Wiaan Mulder",5 February 2023 - day/night match (20-over match),Adrian Holdstock,Allahudien Paleker,Marais Erasmus,Shaid Wadvalla,Arno Jacobs
2023.0,1343967,Joburg Super Kings v Sunrisers Eastern Cape,JSK v SEC,"27th Match, SA20 at Johannesburg, Feb 5 2023",JSK,SEC,Joburg Super Kings,BAT FIRST,160/6,136/9,160/6,136/9,JSK,Super Kings won by 24 runs,2023-02-05T11:30Z,2023-02-06T23:59Z,59120,"The Wanderers Stadium, Johannesburg",Faf du Plessis,Aiden Markram,Faf du Plessis,"Joburg Super Kings 4, Sunrisers Eastern Cape 0",False,20.0,160.0,6.0,18.0,20.0,136.0,9.0,12.0,,"Faf du Plessis,Reeza Hendricks","Kyle Simmonds,Gerald Coetzee","Faf du Plessis (UKN),Reeza Hendricks (UKN),Matthew Wade (WK),Donovan Ferreira (AR),Leus du Plooy (UKN),Romario Shepherd (AR),Sibonelo Makhanya (UKN),Gerald Coetzee (BL),Kyle Simmonds (AR),Nandre Burger (AR),Maheesh Theekshana (BL)","Adam Rossington (WK),Temba Bavuma (UKN),Jordan Hermann (UKN),JJ Smuts (AR),Aiden Markram (UKN),Tristan Stubbs (UKN),Marco Jansen (AR),James Fuller (AR),Brydon Carse (BL),Roelof van der Merwe (AR),Sisanda Magala (BL)","Temba Bavuma,Aiden Markram","Sisanda Magala,Aiden Markram",5 February 2023 (20-over match),Lubabalo Gcuma,Bongani Jele,Stephen Harris,Gerrie Pienaar,Brad White
2023.0,1343966,Pretoria Capitals v MI Cape Town,PC v MICT,"26th Match (D/N), SA20 at Centurion, Feb 4 2023",PC,MICT,Pretoria Capitals,BOWL FIRST,159,160/9,160/9,159,PC,Capitals won by 1 wkt (0b rem),2023-02-04T15:30Z,2023-02-05T23:59Z,59079,"SuperSport Park, Centurion",Wayne Parnell,Rashid Khan,Rilee Rossouw,"Pretoria Capitals 4, MI Cape Town 0",False,20.0,160.0,9.0,22.0,19.4,159.0,10.0,20.0,,"Rilee Rossouw,Kusal Mendis","James Neesham,Eathan Bosch","Phil Salt (WK),Kusal Mendis (UKN),Theunis de Bruyn (UKN),Rilee Rossouw (UKN),Shane Dadswell (UKN),James Neesham (AR),Senuran Muthusamy (AR),Eathan Bosch (BL),Anrich Nortje (BL),Wayne Parnell (BL),Josh Little (BL)","Rassie van der Dussen (UKN),Wesley Marshall (UKN),Grant Roelofsen (WK),Dewald Brevis (AR),George Linde (AR),Tim David (UKN),Duan Jansen (BL),Sam Curran (AR),Odean Smith (AR),Rashid Khan (AR),Kagiso Rabada (BL)","Rassie van der Dussen,Wesley Marshall","Sam Curran,Odean Smith",4 February 2023 - day/night match (20-over match),Marais Erasmus,Allahudien Paleker,Adrian Holdstock,Barry Lambson,Arno Jacobs
,1343965,Durban's Super Giants v Sunrisers Eastern Cape,DSG v SEC,"25th Match (D/N), SA20 at Durban, Feb 3 2023",SEC,DSG,,,,,53/3 (5.2/20 ov),,DSG,No result,2023-02-03T15:30Z,2023-02-04T23:59Z,59089,"Kingsmead, Durban",,,,,,,,,,,,,,,,,,,,,,,,,,
,1343964,Joburg Super Kings v Paarl Royals,JSK v PR,"24th Match, SA20 at Johannesburg, Feb 3 2023",PR,JSK,,,,,131/4 (15/20 ov),,JSK,No result,2023-02-03T11:30Z,2023-02-04T23:59Z,59120,"The Wanderers Stadium, Johannesburg",,,,,,,,,,,,,,,,,,,,,,,,,,
