season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PC,1,PD Salt,Phil Salt,39,21,24,3,3,185.71,False,False,"{'wickets': 1, 'runs': 69}",5.2,c &dagger;Buttler b Ngidi,"<b>gottim, nicked to the keeper!</b> Pace off does the trick for Ngidi and Royals have the breakthrough. Salt wont' be getting that hundred today, then... big heave across the line but completely mistimed and a thick edge loops through to Buttler",
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PC,1,BKG Mendis,Kusal Mendis,80,41,80,8,4,195.12,False,False,"{'wickets': 4, 'runs': 183}",16.4,c Miller b Ngidi,"sits back on the hack... <B>and holes out to mid-off!</B> Another slower ball, Mendis chooses to go for broke, but he can't wrap his bat round the stroke, as Miller back-pedals to swallow the offering. An outstanding innings comes to an end",
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PC,1,TB de Bruyn,Theunis de Bruyn,12,14,20,0,0,85.71,True,False,"{'wickets': 2, 'runs': 93}",9.1,c Morgan b Phehlukwayo,"<B>flying grab in the gully!</B> A short wide ball, an open-faced hack, and old man Eoin sees it straight off the face of the bat, flings himself full-stretch to his right, and plucks a blinder! Well now!",
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PC,1,RR Rossouw,Rilee Rossouw,13,13,16,1,0,100.00,False,False,"{'wickets': 3, 'runs': 126}",12.1, b Codi Yusuf,"<B>bowled him!</B> Tried to get too funky on the ramp, ends up tumbling across his crease to the full length outside off, and deflects the stroke straight into his off stump. Next time maybe...",
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PC,1,CA Ingram,Colin Ingram,41,21,38,4,2,195.23,False,False,"{'wickets': 5, 'runs': 226}",19.6,run out (Codi Yusuf/&dagger;Buttler),"yorker, excellently bowled, clipped to deep midwicket, they rush back for the second but no chance. Run out by a distance, but that's a fine final over.",
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PC,1,JDS Neesham,James Neesham,22,11,16,2,1,200.00,False,True,{},,not out,,
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PR,2,JJ Roy,Jason Roy,10,10,-,0,1,100.00,False,False,"{'wickets': 2, 'runs': 30}",3.3,lbw b Nortje,"<b>pinned on the pads, gone!</b> Roy is nailed to the crease by a 152kph rocket, and he's not going to review. Nortje gets this right on the money, completely beats the England opener for pace and he's squared up, rapped in front of middle as the bat scissors down. Trouble for Royals",
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PR,2,PR Stirling,Paul Stirling,19,10,-,3,1,190.00,False,False,"{'wickets': 1, 'runs': 30}",2.5,c Muthusamy b Bosch,"<b>picked up leg side, taken at deep square leg!</b> Bosch bangs away on a length and makes the breakthrough for Capitals. Stirling was looking to go across the line and target the short boundary but got it off the bottom of the bat, never enough to clear Muthusamy in the deep",
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PR,2,JC Buttler,Jos Buttler,70,45,-,4,5,155.55,False,False,"{'wickets': 8, 'runs': 153}",18.4,c Rossouw b Neesham,"<B>pulled, top-edged, gone!</B> Is it too little too late, if not for Capitals, then for Durban? Buttler goes for broke as Neesham bangs it in, outside off and fails to get over his stroke as short backward square back-pedals. Still, a magnificent innings in adversity... scratchy at first but authoritative when it needed to be",
2023,1343970,PC v PR,PC,PR,"SuperSport Park, Centurion",Centurion,South Africa,PR,2,M Van Buuren,Mitchell Van Buuren,5,6,-,0,0,83.33,False,False,"{'wickets': 3, 'runs': 38}",5.2,c Neesham b Pretorius,"<b>sliced high and out towards deep point - taken!</b> Van Buuren departs after a scratchy knock, went hard at what looked like a slower ball but only succeeded in getting under it. Skied to the boundary rider who takes it safely well in from the rope",
